SilU
{'Train_epoch': 1, 'Acc': 0.8356376886367798, 'Loss': 0.46270627901752365, 'Precision': 0.8334381580352783, 'Recall': 0.8459168076515198}
{'Test_epoch': 1, 'Acc': 0.865545392036438, 'Loss': 0.36531928248086554, 'Precision': 0.8627975583076477, 'Recall': 0.8607059121131897}
{'Train_epoch': 2, 'Acc': 0.8773154020309448, 'Loss': 0.3389522653859434, 'Precision': 0.8727157115936279, 'Recall': 0.8835294246673584}
{'Test_epoch': 2, 'Acc': 0.8673368096351624, 'Loss': 0.36351258929368035, 'Precision': 0.8722193241119385, 'Recall': 0.865109384059906}
{'Train_epoch': 3, 'Acc': 0.893190324306488, 'Loss': 0.2954596472876285, 'Precision': 0.8899630904197693, 'Recall': 0.9001429677009583}
{'Test_epoch': 3, 'Acc': 0.8857483863830566, 'Loss': 0.3181473282492085, 'Precision': 0.8836922645568848, 'Recall': 0.8828884959220886}
{'Train_epoch': 4, 'Acc': 0.8993203639984131, 'Loss': 0.2729719736968785, 'Precision': 0.896019697189331, 'Recall': 0.9051090478897095}
{'Test_epoch': 4, 'Acc': 0.8946058750152588, 'Loss': 0.2952111877358643, 'Precision': 0.8937584161758423, 'Recall': 0.8957467079162598}
{'Train_epoch': 5, 'Acc': 0.9070662260055542, 'Loss': 0.25307173628225, 'Precision': 0.904249906539917, 'Recall': 0.9123644828796387}
{'Test_epoch': 5, 'Acc': 0.9052547812461853, 'Loss': 0.27005361580544973, 'Precision': 0.9013513326644897, 'Recall': 0.9011802077293396}
{'Train_epoch': 6, 'Acc': 0.9127465486526489, 'Loss': 0.2394486528191803, 'Precision': 0.9097748398780823, 'Recall': 0.9180653095245361}
{'Test_epoch': 6, 'Acc': 0.8781847357749939, 'Loss': 0.33418361861614665, 'Precision': 0.8846779465675354, 'Recall': 0.8775869011878967}
{'Train_epoch': 7, 'Acc': 0.9164279103279114, 'Loss': 0.2234076214894684, 'Precision': 0.9135429263114929, 'Recall': 0.9207726716995239}
{'Test_epoch': 7, 'Acc': 0.9083399772644043, 'Loss': 0.2529450161441876, 'Precision': 0.9060420989990234, 'Recall': 0.9070152044296265}
{'Train_epoch': 8, 'Acc': 0.922091543674469, 'Loss': 0.2115864203587524, 'Precision': 0.9189706444740295, 'Recall': 0.9264654517173767}
{'Test_epoch': 8, 'Acc': 0.9094347357749939, 'Loss': 0.2545119326110858, 'Precision': 0.9066635370254517, 'Recall': 0.9082022309303284}
{'Train_epoch': 9, 'Acc': 0.9267390966415405, 'Loss': 0.1970495541991074, 'Precision': 0.9230138063430786, 'Recall': 0.9315937161445618}
{'Test_epoch': 9, 'Acc': 0.9106289744377136, 'Loss': 0.26118292199198606, 'Precision': 0.9109610915184021, 'Recall': 0.9092369079589844}
{'Train_epoch': 10, 'Acc': 0.9315531849861145, 'Loss': 0.18402324704878303, 'Precision': 0.9278267025947571, 'Recall': 0.9352144598960876}
